src,prod,name
C=CC(C)=O.C1C=CCC=1,CC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=C/C(=C\c1ccccc1)C=C.CCN1C(C=CC1=O)=O.Cc1ccccc1,C=CC1=CC[C@H]2C(N(C([C@@H]2[C@@H]1c1ccccc1)=O)CC)=O,Diels-Alder cycloaddition
C=CC1=CC[C@H]2C(N(C([C@H]2[C@H]1c1ccccc1)=O)CC)=O.CCN1C(C=CC1=O)=O.Cc1ccccc1,CCN1C([C@@H]2C[C@@H]3C(=CC[C@H]4C(N(C([C@H]34)=O)CC)=O)[C@@H]([C@@H]2C1=O)c1ccccc1)=O,Diels-Alder cycloaddition
CC1=CC[C@@H](C=C1)C(C)C.CC(C)CC=C1C(=CC(=CC1=O)OC)OC,COc1cc(c2c(c1)O[C@@]1(C=C[C@H](C[C@@H]1C2CC(C)C)C(C)C)C)OC,Oxa-Diels-Alder reaction
C=CC=C.COc1cc(ccc1O)C=C[N+]([O-])=O.Cc1ccccc1.Oc1ccc(cc1)O,COc1cc(ccc1O)[C@@H]1CC=CC[C@H]1[N+]([O-])=O,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(=O)OCC,CC1CCC(CC=1C)C(=O)OCC,Diels-Alder cycloaddition
C=CCC(O)(C(F)(F)F)C(F)(F)F.C1C=CCC=1.Oc1ccc(cc1)O,OC(CC1CC2C=CC1C2)(C(F)(F)F)C(F)(F)F,Diels-Alder cycloaddition
COC1(C(=C(C(=C1Cl)Cl)Cl)Cl)OC.O=c1occo1,COC1(C2(C(=C(C1(C1OC(OC12)=O)Cl)Cl)Cl)Cl)OC,Diels-Alder cycloaddition
COC1(C(=C(C(=C1Cl)Cl)Cl)Cl)OC.O=c1occo1,COC1(C2(C(=C(C1(C1OC(OC12)=O)Cl)Cl)Cl)Cl)OC,Diels-Alder cycloaddition
CC(=O)C(/C)=C\C.C1C=CCC=1,CC1C2C=CC(C2)C1(C)C(C)=O,Diels-Alder cycloaddition
C=CC(=O)OC1CCC(CC1)NS(C)(=O)=O.C1C=CCC=1.Cc1ccccc1,CS(=O)(=O)NC1CCC(CC1)OC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=C(C)C=O.C=CC(=C)c1ccc(cc1)OCc1ccccc1.ClCCl,CC1(CCC(=CC1)c1ccc(cc1)OCc1ccccc1)C=O,Diels-Alder cycloaddition
C=C(C)C=O.C=C(C(=C)c1ccc(cc1)OCc1ccccc1)c1ccc(cc1)OCc1ccccc1.ClCCl,CC1(CCC(=C(C1)c1ccc(cc1)OCc1ccccc1)c1ccc(cc1)OCc1ccccc1)C=O,Diels-Alder cycloaddition
C=C(C(=C)c1ccc(cc1)OC)c1ccc(cc1)OC.O=C1C=CC(O1)=O.Cc1ccccc1.CC(=O)OCC,COc1ccc(cc1)C1CC2C(OC(C2CC=1c1ccc(cc1)OC)=O)=O,Diels-Alder cycloaddition
C=C(C(=C)c1ccccc1)c1ccccc1.O=C1C=CCC1.Cc1ccccc1,O=C1CCC2CC(=C(CC12)c1ccccc1)c1ccccc1,Diels-Alder cycloaddition
C=C(C(=C)c1ccccc1)c1ccccc1.O=C1C=CCCC1.Cc1ccccc1,O=C1CCCC2CC(=C(CC12)c1ccccc1)c1ccccc1,Diels-Alder cycloaddition
C=CC=O.C=C(C)/C=C/C(=O)OCC.Oc1ccc(cc1)O,CCOC(=O)[C@@H]1C=C(CC[C@@H]1C=O)C,Diels-Alder cycloaddition
C=CC(=C)C.C1=COCC1,CC1=CCC2CCOC2C1,Diels-Alder cycloaddition
C=CCC(O)(C(F)(F)F)C(F)(F)F.C1C=CCC=1,OC(CC1CC2C=CC1C2)(C(F)(F)F)C(F)(F)F,Diels-Alder cycloaddition
C=CC=C.O=C1C=CC(O1)=O,O=C1OC([C@@H]2CC=CC[C@H]12)=O,Diels-Alder cycloaddition
C=C(C(=C)c1ccccc1)c1ccccc1.Brc1ccc2C=Cc3ccc(c1c23)Br,Brc1ccc2c3c1c(ccc3C1CC(=C(CC21)c1ccccc1)c1ccccc1)Br,Diels-Alder cycloaddition
C=C1CC2Cc3ccccc3C(O2)C1=C.COC(=O)C#CC(=O)OC,COC(=O)C1CC2CC3Cc4ccccc4C(O3)C=2CC=1C(=O)OC,Triple bond Diels-Alder
C=C1CC2OC(C1=C)c1ccccc12.COC(=O)C#CC(=O)OC,COC(=O)C1CC2CC3OC(C=2CC=1C(=O)OC)c1ccccc13,Triple bond Diels-Alder
CC=CC=CC(=O)OC(CCCCCC)CCCCCC.C1=Cc2cccc3cccc1c23,CCCCCCC(CCCCCC)OC(=O)C1C=CC(C2c3cccc4cccc(c43)C12)C,Diels-Alder cycloaddition
C=CC(C)=O.COC1=CC=C2C3Cc4ccc(c5OC1C2(CCN3C)c54)OC,CC(=O)C1CC23C=CC1(C1Oc4c(ccc5CC3N(CCC12c45)C)OC)OC,Diels-Alder cycloaddition
C=CC(C)=O.COC1=CC=C2C3Cc4ccc(c5OC1C2(CCN3C)c54)OC,CC(=O)C1CC23C=CC1(C1Oc4c(ccc5CC3N(CCC12c45)C)OC)OC,Diels-Alder cycloaddition
C=C(C)C=O.C1C=CCC=1.ClCCl,C[C@@]1(C[C@@H]2C=C[C@H]1C2)C=O,Diels-Alder cycloaddition
C=C(C)C(=C)C.C=CC(=O)OCC,CC1CCC(CC=1C)C(=O)OCC,Diels-Alder cycloaddition
CC(C)(C)OC(=O)n1cccc1.COC(=O)C#CC(=O)OC,COC(=O)C1=C(C2C=CC1N2C(=O)OC(C)(C)C)C(=O)OC,Triple bond Diels-Alder
Cn1ccccc1=O.O=C1C=CC(O1)=O.Cc1ccccc1,CN1C(C2C=CC1C1C(OC(C21)=O)=O)=O,Diels-Alder cycloaddition
N#Cc1ccc(cc1C(F)(F)F)N1C(C=CC1=O)=O.Cc1oc(nc1C)C.Cc1ccccc1,CC12OC(N=C2C)(C2C(N(C(C21)=O)c1ccc(c(c1)C(F)(F)F)C#N)=O)C,Aza-Diels-Alder reaction
c1occ2CCCCc12.O=C1C=CCO1.CC(C)(C)c1cc(c(cc1O)C)Sc1cc(c(cc1C)O)C(C)(C)C.O=[Cl](=O)(=O)O[Li].CCOCC.O,O=C1OCC2C3OC(C4CCCCC=43)C12,Diels-Alder cycloaddition
O=C1C=CC(O1)=O.c1ccoc1,O=C1OC([C@H]2[C@@H]3C=C[C@@H](O3)[C@H]12)=O,Diels-Alder cycloaddition
C=CC(=Cc1ccc(cc1)F)O[Si](C)(C)C(C)(C)C.CCOC(=O)/C=C/C(=O)OCC.C=CC(=C/c1ccc(cc1)F)/O[Si](C)(C)C(C)(C)C,CCOC(=O)C1CC=C(C(C1C(=O)OCC)c1ccc(cc1)F)O[Si](C)(C)C(C)(C)C,Diels-Alder cycloaddition
OC(CC/C(F)=C(\F)F)(C(F)(F)F)C(F)(F)F.C1C=CCC=1,OC(CCC1(C2C=CC(C2)C1(F)F)F)(C(F)(F)F)C(F)(F)F,Diels-Alder cycloaddition
C=CC(C)=O.C1C=CCC=1,CC(=O)C1CC2C=CC1C2,Diels-Alder cycloaddition
C=CCO.C1C=CCC=1,OCC1CC2C=CC1C2,Diels-Alder cycloaddition
C=CCN.C1C=CCC=1,NCC1CC2C=CC1C2,Diels-Alder cycloaddition
C=CC(=O)OC.C=C(C)C1=CN(CCC1)C(=O)OC,COC(=O)[C@@H]1CCC(=C2CCCN([C@H]21)C(=O)OC)C,Diels-Alder cycloaddition
CC(C)(C)OC(=O)n1cccc1.COC(=O)C#CC(=O)OC,COC(=O)C1=C(C2C=CC1N2C(=O)OC(C)(C)C)C(=O)OC,Triple bond Diels-Alder
Cn1ccccc1=O.O=C1C=CC(O1)=O.Cc1ccccc1,CN1C(C2C=CC1C1C(OC(C21)=O)=O)=O,Diels-Alder cycloaddition
N#Cc1ccc(cc1C(F)(F)F)N1C(C=CC1=O)=O.Cc1oc(nc1C)C.Cc1ccccc1,CC12OC(N=C2C)(C2C(N(C(C21)=O)c1ccc(c(c1)C(F)(F)F)C#N)=O)C,Aza-Diels-Alder reaction
C=CC(=O)OC.C=C(C)C1=CN(CCC1)C(=O)OC,COC(=O)[C@H]1CCC(=C2CCCN([C@H]21)C(=O)OC)C,Diels-Alder cycloaddition
O=C1C=CC(N1c1ccccc1)=O.c1ccoc1,O=C1C2C(C(N1c1ccccc1)=O)C1C=CC2O1,Diels-Alder cycloaddition
C=CC(=O)OC.C=C(C)C1=CN(CCC1)C(=O)OC,COC(=O)[C@@H]1CCC(=C2CCCN([C@H]21)C(=O)OC)C,Diels-Alder cycloaddition
