src,prod
C/C=C/C(=O)Cl.CCOC(=O)C1Cc2ccc(c(c2O1)Cl)Cl.O.ClCCl.Cl[Al](Cl)Cl,CC=CC(=O)c1cc2CC(Oc2c(c1Cl)Cl)C(=O)O
C/C=C/C(=O)Cl.COc1ccc2ccccc2c1.ClCCl.Cl[Al](Cl)Cl,C/C=C/C(=O)c1ccc2cc(ccc2c1)OC
C/C=C/C(=O)Cl.COc1ccccc1.ClCCl.Cl[Al](Cl)Cl,COc1ccc(cc1)C(=O)/C=C/C
C/C=C/C(=O)Cl.COc1ccccc1.O.Cl.S=C=S.Cl[Al](Cl)Cl,COc1ccc(cc1)C(=O)C=CC
C/C=C/C(=O)Cl.c1ccccc1.Cl[Al](Cl)Cl.ClCCl,C/C=C/C(=O)c1ccccc1
C=C(C)C(=O)Cl.Brc1ccccc1.ClCCl.Cl[Al](Cl)Cl,C=C(C)C(=O)c1ccc(cc1)Br
C=C(C)C(=O)Cl.COc1cccc(c1)Br.ClCCl.Cl[Al](Cl)Cl,C=C(C)C(=O)c1ccc(cc1OC)Br
C=C(C)C(=O)Cl.Cc1ccc(cc1)C.ClCCl.Cl[Al](Cl)Cl,C=C(C)C(=O)c1cc(ccc1C)C
C=C(C)C(=O)Cl.Cc1cccc2ccccc12.ClCCl.Cl[Al](Cl)Cl,C=C(C)C(=O)c1ccc2c(cccc2c1)C
C=C(C)C(=O)Cl.Fc1ccccc1.Cl[Al](Cl)Cl,C=C(C)C(=O)c1ccc(cc1)F
C=C(C)C(=O)Cl.c1ccccc1.Cl[Al](Cl)Cl.S=C=S,C=C(C)C(=O)c1ccccc1
C=C(COc1ccc(cc1)C)C(=O)Cl.C=C(COc1ccc(cc1)C)C(=O)O.c1ccccc1.O=S(Cl)Cl.Cl[Al](Cl)Cl.Cl,C=C1COc2ccc(cc2C1=O)C
C=C1CC(OC1=O)=O.Cc1ccccc1.ClCCl.Cl[Al](Cl)Cl,C=C(CC(=O)c1ccc(cc1)C)C(=O)O
C=C1CC(OC1=O)=O.Clc1ccc(cc1)-c1ccccc1.O.Cc1ccc(cc1)Cl.Cl[Al](Cl)Cl,C=C(CC(=O)c1ccc(cc1)-c1ccc(cc1)Cl)C(=O)O
C=C1CC(OC1=O)=O.Clc1ccc(cc1)-c1ccccc1.O.Cl.Clc1ccccc1Cl.Cl[Al](Cl)Cl,C=C(CC(=O)c1ccc(cc1)-c1ccc(cc1)Cl)C(=O)O
C=C1CC(OC1=O)=O.Clc1ccc(cc1)-c1ccccc1.O.Cl[Al](Cl)Cl.Brc1ccccc1,C=C(CC(=O)c1ccc(cc1)-c1ccc(cc1)Cl)C(=O)O
C=C1CC(OC1=O)=O.Clc1ccc(cc1)-c1ccccc1.O.Clc1ccccc1.Cl[Al](Cl)Cl,C=C(CC(=O)c1ccc(cc1)-c1ccc(cc1)Cl)C(=O)O
C=C1CC(OC1=O)=O.Clc1ccc(cc1)-c1ccccc1.O.O=S(=O)(O)O.Clc1ccccc1Cl.Cl[Al](Cl)Cl,C=C(CC(=O)c1ccc(cc1)-c1ccc(cc1)Cl)C(=O)O
C=C1CC(OC1=O)=O.c1ccccc1.ClCCCl.Cl[Al](Cl)Cl.O.Cl,C=C(CC(=O)c1ccccc1)C(=O)O
C=CC(=O)Cl.Brc1cccc2ccccc12.Cl[Al](Cl)Cl,C=CC(=O)c1ccc2c(cccc2c1)Br
C=CC(=O)Cl.Brc1ccccc1.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(cc1)Br
C=CC(=O)Cl.CCc1ccccc1.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(cc1)CC
C=CC(=O)Cl.COc1cccc(c1)Br.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(cc1OC)Br
C=CC(=O)Cl.COc1ccccc1.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(cc1)OC
C=CC(=O)Cl.COc1ccccc1OC.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(c(c1)OC)OC
C=CC(=O)Cl.Cc1cccc(c1)C.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(cc1C)C
C=CC(=O)Cl.Cc1cccc2ccccc12.S=C=S.Cl[Al](Cl)Cl,C=CC(=O)c1ccc2c(cccc2c1)C
C=CC(=O)Cl.Cc1ccccc1.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(cc1)C
C=CC(=O)Cl.Cc1ccccc1C.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(c(c1)C)C
C=CC(=O)Cl.Clc1cccc2ccccc12.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc2c(cccc2c1)Cl
C=CC(=O)Cl.Clc1ccccc1.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(cc1)Cl
C=CC(=O)Cl.Fc1cccc2ccccc12.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc2c(cccc2c1)F
C=CC(=O)Cl.Fc1ccccc1.Cl[Al](Cl)Cl,C=CC(=O)c1ccc(cc1)F
C=CC(=O)Cl.c1ccc(cc1)-c1cccc2ccccc21.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccc2ccccc2c1-c1ccccc1
C=CC(=O)Cl.c1ccncc1.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccncc1
C=CC(=O)Cl.c1ccoc1.ClCCl.Cl[Al](Cl)Cl,C=CC(=O)c1ccco1
C=CC(=O)c1ccc(cc1O)O.CC(=O)OCC(=O)Cl.O.S=C=S.Cl[Al](Cl)Cl,C=CC(=O)c1cc(c(cc1O)O)C(=O)COC(C)=O
C=CCC(=O)Cl.Cc1c(cccc1Br)O.O.S=C=S.Cl[Al](Cl)Cl,C=CCC(=O)c1ccc(c(c1O)C)Br
C=CCC(C)(C)C(=O)Cl.Brc1cnc2[nH]ccc2n1.[Na+].CC[Al](Cl)CC.[O-]C(=O)O.ClCCl,C=CCC(C)(C)C(=O)c1c[nH]c2ncc(nc12)Br
C=CCN1C(COc2ccccc21)=O.COc1ccc(c(c1)Cl)CC(=O)Cl.ClCCCl.Cl[Al](Cl)Cl,C=CCN1C(COc2ccc(cc21)C(=O)Cc1ccc(cc1Cl)OC)=O
C=CCc1c(cccc1OC)OC.COc1ccccc1C(=O)Cl.Cl.ClCCl.Cl[Zn]Cl,C=CCc1c(ccc(c1OC)C(=O)c1ccccc1OC)OC
C=CCc1cccc(c1O)C(C)(C)C.C#CCCCC(=O)Cl.Cl[Sn](Cl)(Cl)Cl,C#CCCCC(=O)c1cc(c(c(c1)C(C)(C)C)O)CC=C
C=CCc1cccc(c1O)C(C)(C)C.C#CCCCC(=O)Cl.Cl[Sn](Cl)(Cl)Cl.ClCCl,C#CCCCC(=O)c1cc(c(c(c1)C(C)(C)C)O)CC=C
CC(=O)Br.O=CNCCc1ccccc1.ClCCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(cc1)CCNC=O
CC(=O)CCC(=O)Cl.CC(=O)NC(CCc1ccc(cc1)Oc1ccccc1)(C(=O)OCC)C(=O)OCC.O.Cl.ClCCl.Cl[Al](Cl)Cl,CC(=O)NC(CCc1ccc(cc1)Oc1ccc(cc1)C(=O)CCC(C)=O)(C(=O)OCC)C(=O)OCC
CC(=O)CCC(=O)Cl.Clc1ccccc1.Cl.Cl[Al](Cl)Cl,CC(=O)CCC(=O)c1ccc(cc1)Cl
CC(=O)CCC(=O)Cl.c1ccccc1.Cl[Al](Cl)Cl.Cl,CC(=O)CCC(=O)c1ccccc1
CC(=O)CCc1ccccc1.O=C(Cl)c1ccc(cc1)Cl.S=C=S.Cl[Al](Cl)Cl,CC(=O)CCc1ccc(cc1)C(=O)c1ccc(cc1)Cl
CC(=O)Cl.BrCC/C=C1/c2ccccc2OCc2ncccc12.Cl[Al](Cl)Cl,CC(=O)c1ccc2OCc3ncccc3/C(c2c1)=C\CCBr
CC(=O)Cl.BrCCC=C1Cc2ccccc2Oc2ncccc12.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cccc2Oc3ncccc3C(Cc12)=CCCBr
CC(=O)Cl.BrCCC=C1Cc2ccccc2Oc2ncccc12.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cccc2Oc3ncccc3C(Cc12)=CCCBr
CC(=O)Cl.BrCCC=C1c2ccccc2OCc2ncccc12.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2OCc3ncccc3C(c2c1)=CCCBr
CC(=O)Cl.BrCCC=C1c2ccccc2OCc2ncccc12.Cl[Al](Cl)Cl,CC(=O)c1ccc2OCc3ncccc3C(c2c1)=CCCBr
CC(=O)Cl.BrCCCCCCn1c2ccccc2c2ccccc21.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2c(c1)c1ccccc1n2CCCCCCBr
CC(=O)Cl.Brc1cc2cc[nH]c2cn1.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1c[nH]c2cnc(cc12)Br
CC(=O)Cl.Brc1cc2ccc1CCc1ccc(CC2)c(c1)Br.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cc2CCc3ccc(CCc1cc2Br)c(c3)Br
CC(=O)Cl.Brc1ccc(cc1)-c1ccccc1.O.ClCCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(cc1)-c1ccc(cc1)Br
CC(=O)Cl.Brc1ccc2Oc3ccccc3Sc2c1.ClCCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2Oc3ccc(cc3Sc2c1)Br
CC(=O)Cl.Brc1ccc2[nH]ccc2c1.Cc1ccccc1.Cl[Sn](Cl)(Cl)Cl,CC(=O)c1c[nH]c2ccc(cc12)Br
CC(=O)Cl.Brc1ccc2[nH]ccc2c1.Cc1ccccc1.Cl[Ti](Cl)(Cl)Cl,CC(=O)c1c[nH]c2ccc(cc12)Br
CC(=O)Cl.Brc1ccc2[nH]ccc2c1.Cl[Sn](Cl)(Cl)Cl,CC(=O)c1c[nH]c2ccc(cc12)Br
CC(=O)Cl.Brc1ccc2cc[nH]c2c1.C[N+]([O-])=O.ClCCl.Cl[Sn](Cl)(Cl)Cl,CC(=O)c1c[nH]c2cc(ccc12)Br
CC(=O)Cl.Brc1ccc2cc[nH]c2c1.Cc1ccccc1.Cl[Sn](Cl)(Cl)Cl,CC(=O)c1c[nH]c2cc(ccc12)Br
CC(=O)Cl.Brc1ccc2cc[nH]c2c1.Cl[Sn](Cl)(Cl)Cl,CC(=O)c1c[nH]c2cc(ccc12)Br
CC(=O)Cl.Brc1ccc2ccccc2c1.Cl.CCOC(C)=O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cccc2ccc(cc12)Br
CC(=O)Cl.Brc1ccc2ccccc2c1.Cl.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cccc2ccc(cc12)Br
CC(=O)Cl.Brc1ccc2ccccc2c1.Cl[Al](Cl)Cl,CC(=O)c1ccc2cc(ccc2c1)Br
CC(=O)Cl.Brc1ccc2ccccc2c1.O.Cl.[O-][N+](=O)c1ccccc1.Cl[Al](Cl)Cl,CC(=O)c1ccc2cc(ccc2c1)Br
CC(=O)Cl.Brc1ccc2ccccc2c1.[O-][N+](=O)c1ccccc1.Cl[Al](Cl)Cl,CC(=O)c1ccc2cc(ccc2c1)Br
CC(=O)Cl.Brc1cccc2[nH]ccc12.O=C(O)O[Na].ClCCl.Cl[Sn](Cl)(Cl)Cl,CC(=O)c1c[nH]c2cccc(c21)Br
CC(=O)Cl.Brc1cccc2ccccc12.Cl[Al](Cl)Cl,CC(=O)c1ccc(c2ccccc12)Br
CC(=O)Cl.Brc1cnc2[nH]ccc2c1.CO.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1c[nH]c2ncc(cc12)Br
CC(=O)Cl.Brc1cnc2[nH]ccc2c1.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1c[nH]c2ncc(cc12)Br
CC(=O)Cl.Brc1cnc2[nH]ccc2c1.Cl[Al](Cl)Cl,CC(=O)c1c[nH]c2ncc(cc12)Br
CC(=O)Cl.Brc1csc2ccccc12.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1sc2ccccc2c1Br
CC(=O)Cl.Brc1csc2ccccc12.S=C=S.Cl[Al](Cl)Cl,CC(=O)c1sc2ccccc2c1Br
CC(=O)Cl.CC(=O)C1CCC(CC1)c1ccccc1.O.Cl.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(cc1)C1CCC(CC1)C(C)=O
CC(=O)Cl.CC(=O)N(C)Cc1ccccc1.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(cc1)CN(C)C(C)=O
CC(=O)Cl.CC(=O)N1CCCc2ccccc21.O.[Na+].[Na+].CCCCCC.CCOC(C)=O.CCOC(C)=O.[O-]S([O-])(=O)=O.O=[Si](O)O.Cl[Al](Cl)Cl,CC(=O)c1ccc2c(c1)CCCN2C(C)=O
CC(=O)Cl.CC(=O)N1c2ccccc2CC1C.S=C=S.Cl[Al](Cl)Cl,CC(=O)c1ccc2c(c1)CC(N2C(C)=O)C
CC(=O)Cl.CC(=O)NC1Cc2ccccc2C1.Cl.ClCCCl.Cl[Al](Cl)Cl,CC(=O)NC1Cc2cc(ccc2C1)C(C)=O
CC(=O)Cl.CC(=O)NCC1(CCCC1)Cc1ccccc1.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)NCC1(CCCC1)Cc1ccc(cc1)C(C)=O
CC(=O)Cl.CC(=O)NCCc1cccc2ccc(cc12)OC.ClCCl.Cl[Al](Cl)Cl,COc1ccc2cc(cc(c2c1)CCNC(C)=O)C(C)=O
CC(=O)Cl.CC(=O)NCCc1ccccc1.ClCCl.Cl[Al](Cl)Cl,CC(=O)NCCc1ccc(cc1)C(C)=O
CC(=O)Cl.CC(=O)NCc1ccccc1.O.CC(Cl)Cl.Cl[Al](Cl)Cl,CC(=O)NCc1ccc(cc1)C(C)=O
CC(=O)Cl.CC(=O)NCc1ccccc1C.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(c(c1)CNC(C)=O)C
CC(=O)Cl.CC(=O)NCc1ccccc1Cl.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(c(c1)CNC(C)=O)Cl
CC(=O)Cl.CC(=O)NCc1cccs1.CC(Cl)Cl.Cl[Al](Cl)Cl,CC(=O)NCc1ccc(s1)C(C)=O
CC(=O)Cl.CC(=O)NOCc1cccc2ccc(cc12)OC.[O-][N+](=O)c1ccccc1.Cl[Al](Cl)Cl,CC(=O)NOCc1cc(cc2ccc(cc12)OC)C(C)=O
CC(=O)Cl.CC(=O)Nc1cc(ccc1C)C.S=C=S.Cl[Al](Cl)Cl,CC(=O)Nc1cc(c(cc1C)C(C)=O)C
CC(=O)Cl.CC(=O)Nc1ccc2CCCc2c1.O.Cl.S=C=S.Cl[Al](Cl)Cl,CC(=O)Nc1cc2CCCc2cc1C(C)=O
CC(=O)Cl.CC(=O)Nc1cccc(c1)OC.ClCCCl.Cl[Al](Cl)Cl,CC(=O)Nc1ccc(c(c1)O)C(C)=O
CC(=O)Cl.CC(=O)OC1Cc2ccccc2C1.O.O.Cl.S=C=S.Cl[Al](Cl)Cl,CC(=O)OC1Cc2cc(ccc2C1)C(C)=O
CC(=O)Cl.CC(=O)OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC(C)=O)OC(C)=O)OC(C)=O)c1cc(c(c2OCCCc21)Cl)Cc1ccccc1.ClCCl.Cl[Al](Cl)Cl,CC(=O)OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC(C)=O)OC(C)=O)OC(C)=O)c1cc(c(c2OCCCc21)Cl)Cc1ccc(cc1)C(C)=O
CC(=O)Cl.CC(=O)OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC(C)=O)OC(C)=O)OC(C)=O)c1cc(c(c2OCCc21)Cl)Cc1ccccc1.ClCCl.Cl[Al](Cl)Cl,CC(=O)OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC(C)=O)OC(C)=O)OC(C)=O)c1cc(c(c2OCCc21)Cl)Cc1ccc(cc1)C(C)=O
CC(=O)Cl.CC(=O)Oc1cc2CCc3ccccc3-c2c2ccc(cc12)OC.ClCCl.Cl[Al](Cl)Cl,CC(=O)Oc1cc2CCc3ccccc3-c2c2cc(c(cc12)OC)C(C)=O
CC(=O)Cl.CC(=O)Oc1ccc(cc1)C(=O)O.O.Cl.Clc1cc(ccc1Cl)Cl.Cl[Al](Cl)Cl,CC(=O)c1cc(ccc1O)C(=O)O
CC(=O)Cl.CC(=O)Oc1cccc2ccc([nH]c21)=O.Cl.ClCCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(c2[nH]c(ccc12)=O)O
CC(=O)Cl.CC(=O)c1cc2CCc3ccccc3-c2s1.O.Cl.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2c(c1)CCc1cc(sc1-2)C(C)=O
CC(=O)Cl.CC(=O)c1ccc2sc3ccccc3c2c1.O.Cl.S=C=S.Cl[Al](Cl)Cl,CC(=O)c1ccc2sc3ccc(cc3c2c1)C(C)=O
CC(=O)Cl.CC(=O)n1c2ccccc2c2ccccc21.Cl.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2c3ccccc3n(c2c1)C(C)=O
CC(=O)Cl.CC(=O)n1c2ccccc2c2ccccc21.Cl[Al](Cl)Cl,CC(=O)c1ccc2c3ccccc3n(c2c1)C(C)=O
CC(=O)Cl.CC(C)OC(=O)C1(CC1)c1ccc(cc1)-c1ccccc1.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(cc1)-c1ccc(cc1)C1(CC1)C(=O)OC(C)C
CC(=O)Cl.CC(C)c1cc2ccccn2n1.[Na+].CCOC(C)=O.[O-]C(=O)O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1c(nn2ccccc12)C(C)C
CC(=O)Cl.CC(C)c1ccc2c(c1)CC[C@H]1[C@](CCC[C@]21C)(C)CN1C(c2ccc(cc2C1=O)[N+]([O-])=O)=O.Cl[Al](Cl)Cl,CC(C)c1cc2CC[C@H]3[C@](CCC[C@@]3(c2cc1C(C)=O)C)(C)CN1C(c2ccc(cc2C1=O)[N+]([O-])=O)=O
CC(=O)Cl.CC(C)c1ccccc1.Cl.S=C=S.Cl[Al](Cl)Cl,CC(=O)c1ccc(cc1)C(C)C
CC(=O)Cl.CC(C)n1ccc2ccnc(c21)Cl.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cn(c2c(nccc12)Cl)C(C)C
CC(=O)Cl.CC(C)n1ccc2ccncc21.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cn(c2cnccc12)C(C)C
CC(=O)Cl.CC(Cc1cccs1)OS(=O)(=O)c1ccc(cc1)C.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc(s1)CC(C)OS(=O)(=O)c1ccc(cc1)C
CC(=O)Cl.CC1(C(CC(c2ccccc21)(C)C)=O)C.[Na+].[Na+].[Cl-].[O-]S([O-])(=O)=O.ClCCl.[Al],CC(=O)c1ccc2c(c1)C(CC(C2(C)C)=O)(C)C
CC(=O)Cl.CC1(C(CC(c2ccccc21)(C)C)=O)C.[Na+].[Na+].[O-]S([O-])(=O)=O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2c(c1)C(CC(C2(C)C)=O)(C)C
CC(=O)Cl.CC1(CC(Oc2ccc(cc21)Br)(C)C)C.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cc(cc2c1OC(CC2(C)C)(C)C)Br
CC(=O)Cl.CC1(CC(Oc2ccc(cc21)Br)(C)C)C.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cc(cc2c1OC(CC2(C)C)(C)C)Br
CC(=O)Cl.CC1(CC(Oc2ccccc21)(C)C)C.C[N+]([O-])=O.Cl[Al](Cl)Cl,CC(=O)c1ccc2OC(CC(c2c1)(C)C)(C)C
CC(=O)Cl.CC1(CCOc2ccccc21)C.Cl.CCOCC.C[N+]([O-])=O.Cl[Al](Cl)Cl,CC(=O)c1ccc2OCCC(c2c1)(C)C
CC(=O)Cl.CC1(CCOc2ccccc21)C.Cl[Al](Cl)Cl,CC(=O)c1ccc2OCCC(c2c1)(C)C
CC(=O)Cl.CC1(CCOc2ccccc21)C.O.Cl.S=C=S.Cl[Al](Cl)Cl,CC(=O)c1ccc2OCCC(c2c1)(C)C
CC(=O)Cl.CC1(CCOc2ccccc21)C.O.O.[O-][N+](=O)c1ccccc1.Cl[Al](Cl)Cl,CC(=O)c1ccc2OCCC(c2c1)(C)C
CC(=O)Cl.CC1(CCSc2c(ccc(c21)Cl)Cl)C.Cl[Al](Cl)Cl,CC(=O)c1cc(c2SCCC(c2c1Cl)(C)C)Cl
CC(=O)Cl.CC1(CCSc2c(ccc(c21)Cl)Cl)C.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cc(c2SCCC(c2c1Cl)(C)C)Cl
CC(=O)Cl.CC1(CCSc2ccccc21)C.ClCCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2SCCC(c2c1)(C)C
CC(=O)Cl.CC1(CCSc2ccccc21)C.O.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2SCCC(c2c1)(C)C
CC(=O)Cl.CC1(CCSc2ccccc21)C.O.S=C=S.Cl[Al](Cl)Cl,CC(=O)c1ccc2SCCC(c2c1)(C)C
CC(=O)Cl.CC1(CCSc2ccccc21)C.O=C(O)O[Na].Cl[Al](Cl)Cl,CC(=O)c1ccc2SCCC(c2c1)(C)C
CC(=O)Cl.CC1(CCc2ccccc2O1)C.O.C[N+]([O-])=O.Cl[Al](Cl)Cl,CC(=O)c1ccc2OC(CCc2c1)(C)C
CC(=O)Cl.CC1(CCc2ccccc2O1)C.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2OC(CCc2c1)(C)C
CC(=O)Cl.CC1(COc2ccc(cc21)Br)C.O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1cc(cc2c1OCC2(C)C)Br
CC(=O)Cl.CC1(CSc2ccccc2SC1)C.ClCCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2SCC(CSc2c1)(C)C
CC(=O)Cl.CC1(Cc2ccccc2C1)NC(=O)c1ccccc1.C[N+]([O-])=O.Cl[Al](Cl)Cl,CC(=O)c1ccc2CC(Cc2c1)(C)NC(=O)c1ccccc1
CC(=O)Cl.CC1(Sc2ccccc2S1)C.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2SC(Sc2c1)(C)C
CC(=O)Cl.CC1(c2ccccc2Oc2ncccc21)C.O.Cl[Al](Cl)Cl,CC(=O)c1ccc2Oc3ncccc3C(c2c1)(C)C
CC(=O)Cl.CC12CCCc3cccc(CCC2)c31.O.S=C=S.Cl[Al](Cl)Cl,CC(=O)c1ccc2CCCC3(CCCc1c23)C
CC(=O)Cl.CC1=CC(c2ccccc12)(C)C.ClCCCl.Cl[Al](Cl)Cl,CC1=C(C(c2ccccc12)(C)C)C(C)=O
CC(=O)Cl.CC1C=C(C=CC1(C)Cl)Cl.O=C(O)c1c(c(c(cc1C(=O)O)Cl)C(=O)O)Cl.Cl[Al](Cl)Cl,CC(=O)C1=C(C=CC(C1C)(C)Cl)Cl
CC(=O)Cl.CC1CCN(CC1)c1c(c(nc2ccnn12)Cl)-c1ncncc1Cl.Cl[Al](Cl)Cl,CC1CCN(CC1)c1c(c(nc2c(cnn12)C(C)=O)Cl)-c1ncncc1Cl
CC(=O)Cl.CCC(=O)C1=C(CC(CC1=O)c1c(c(c(cc1C)C)CC#N)C)O.O.Cl.S=C=S.Cl[Al](Cl)Cl,CCC(=O)C1=C(CC(CC1=O)c1c(c(c(c(c1C)CC#N)C)C(C)=O)C)O
CC(=O)Cl.CCC(=O)C1=C(CC(CC1=O)c1c2ccccc2cc(c1C)C)O.Cl.ClCCCl.Cl[Al](Cl)Cl,CC(=O)c1c(c(c(c2ccccc12)C1CC(C(=C(C1)O)C(=O)CC)=O)C)C
CC(=O)Cl.CCC1(CC(c2cc(ccc2O1)Br)(C)C)CC.ClCCl.Cl[Al](Cl)Cl,CCC1(CC(c2cc(cc(c2O1)C(C)=O)Br)(C)C)CC
CC(=O)Cl.CCC1(CC(c2cc(ccc2O1)Br)(C)C)CC.O.ClCCl.Cl[Al](Cl)Cl,CCC1(CC(c2cc(cc(c2O1)C(C)=O)Br)(C)C)CC
CC(=O)Cl.CCC1(c2cc3c4ccccc4n(c3cc2-c2ccccc21)CC)C.O.O.ClCCl.Cl[Al](Cl)Cl,CCn1c2ccccc2c2cc3c(cc21)-c1cc(ccc1C3(C)CC)C(C)=O
CC(=O)Cl.CCCC(=O)C1C(CCC(C=1O)c1ccc(cc1)OC)=O.Cl.CC(Cl)Cl.Cl[Al](Cl)Cl,CCCC(=O)C1C(CCC(C=1O)c1ccc(c(c1)C(C)=O)O)=O
CC(=O)Cl.CCCC1(c2ccccc2-c2ccccc21)CCC.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2-c3ccccc3C(c2c1)(CCC)CCC
CC(=O)Cl.CCCCCCCCC1Cc2ccccc2C1.O.O=S(=O)(O)O.ClCCl.Cl[Al](Cl)Cl,CC(=O)c1ccc2CC(Cc2c1)CCCCCCCC
