[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[nH:6][c:7]2[cH:8][cH:9][c:10]([NH:11][C:12](=[O:13])[C:14]3([c:15]4[cH:16][cH:17][c:18]5[c:19]([cH:20]4)[O:21][CH2:22][O:23]5)[CH2:24][CH2:25]3)[cH:26][c:27]2[c:28]1[CH:29]=[N:30][OH:31]>>CC(C)(C)c1[nH]c2ccc(NC(=O)C3(c4ccc5c(c4)OCO5)CC3)cc2c1C#N 29;;29-30-2.0,30-31-1.0;29-30-3.0
[BrH:1].[CH3:24][CH2:25][N:26]([CH2:27][CH3:28])[CH2:29][CH3:30].[NH2:2][CH:3]([CH2:4][c:5]1[cH:6][cH:7][c:8]([N+:9](=[O:10])[O-:11])[cH:12][cH:13]1)[c:14]1[cH:15][s:16][c:17](-[c:18]2[cH:19][cH:20][cH:21][s:22]2)[n:23]1.[O:31]=[C:32]=[N:33][CH2:34][c:35]1[cH:36][cH:37][cH:38][cH:39][cH:40]1>>O=C(NCc1ccccc1)NC(Cc1ccc([N+](=O)[O-])cc1)c1csc(-c2cccs2)n1 2;33;32-33-2.0;2-32-1.0,32-33-1.0
[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]2[C:13]([CH3:14])([CH3:15])[CH2:16][CH:17]1[c:18]1[cH:19][cH:20][cH:21][c:22]([Br:23])[cH:24]1.[K+:36].[K+:37].[NH2:25][C:26]1([C:27](=[O:28])[OH:29])[CH2:30][CH2:31]1.[O:32]=[C:33]([O-:34])[O-:35]>>CN1c2ccc(C(F)(F)F)cc2C(C)(C)CC1c1cccc(NC2(C(=O)O)CC2)c1 25;;22-23-1.0;22-25-1.0
[CH3:1][c:2]1[cH:3][c:4]([I:5])[cH:6][c:7]([CH3:8])[c:9]1[O:10][c:11]1[cH:12][cH:13][n:14][c:15]([NH:16][c:17]2[cH:18][cH:19][c:20]([C:21]#[N:22])[cH:23][cH:24]2)[n:25]1.[CH3:42][CH2:43][N:44]([CH2:45][CH3:46])[CH2:47][CH3:48].[CH:26]#[C:27][CH2:28][O:29][CH2:30][CH2:31][O:32][CH2:33][CH2:34][O:35][CH2:36][CH2:37][O:38][CH2:39][CH2:40][OH:41]>>Cc1cc(C#CCOCCOCCOCCOCCO)cc(C)c1Oc1ccnc(Nc2ccc(C#N)cc2)n1 26;;4-5-1.0;26-4-1.0
[BH4-:28].[CH2:23]1[CH2:24][CH2:25][O:26][CH2:27]1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9](-[n:10]2[cH:11][cH:12][c:13]3[cH:14][cH:15][c:16]([CH:17]=[O:18])[cH:19][c:20]23)[cH:21][cH:22]1.[Cl-:30].[NH4+:31].[Na+:29]>>CCOC(=O)c1ccc(-n2ccc3ccc(CO)cc32)cc1 ;17,18;17-18-2.0;17-18-1.0
[CH3:1][c:2]1[n:3][s:4][c:5]([N:6]2[CH2:7][CH2:8][C:9](=[O:10])[CH2:11][CH2:12]2)[n:13]1.[NH2:14][c:15]1[cH:16][cH:17][n:18]([CH2:19][c:20]2[cH:21][c:22]([F:23])[c:24]([F:25])[c:26]([F:27])[cH:28]2)[n:29]1>>Cc1nsc(N2CCC(Nc3ccn(Cc4cc(F)c(F)c(F)c4)n3)CC2)n1 14;9;10-9-2.0;14-9-1.0
[CH3:1][c:2]1[n:3][o:4][c:5]([CH3:6])[c:7]1[CH2:8][n:9]1[cH:10][c:11]([N:12]2[C:13](=[O:14])[NH:15][C:16]([CH3:17])([CH3:18])[C:19]2=[O:20])[cH:21][n:22]1.[CH3:23][O:24][c:25]1[cH:26][c:27]([CH2:28][Cl:29])[cH:30][cH:31][c:32]1[F:33]>>COc1cc(CN2C(=O)N(c3cnn(Cc4c(C)noc4C)c3)C(=O)C2(C)C)ccc1F 15;;28-29-1.0;15-28-1.0
[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]([CH2:10][CH2:11][O:12][CH:13]([F:14])[F:15])[C:16](=[O:17])[O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>NC(CCOC(F)F)C(=O)OCc1ccccc1 ;8;6-8-1.0;
[CH2:1]=[CH:2][C:3]1([C:4]([O:5][SiH2:6][C:7]([CH3:8])([CH3:9])[CH3:10])([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[O:23][CH:24]([n:25]2[cH:26][n:27][c:28]3[c:29]([NH2:30])[n:31][cH:32][n:33][c:34]23)[CH:35]([O:36][C:37](=[S:38])[O:39][c:40]2[cH:41][cH:42][cH:43][cH:44][cH:45]2)[CH:46]1[O:47][CH2:48][c:49]1[cH:50][cH:51][cH:52][cH:53][cH:54]1.[CH3:55][CH2:56][CH2:57][CH2:58][SnH:59]([CH2:60][CH2:61][CH2:62][CH3:63])[CH2:64][CH2:65][CH2:66][CH3:67].[CH3:68][C:69]([CH3:70])([C:71]#[N:72])[N:73]=[N:74][C:75]([CH3:76])([CH3:77])[C:78]#[N:79]>>C=CC1(C(O[SiH2]C(C)(C)C)(c2ccccc2)c2ccccc2)OC(n2cnc3c(N)ncnc32)CC1OCc1ccccc1 ;35;35-36-1.0;
[CH3:15][CH2:16][N:17]([CH:18]([CH3:19])[CH3:20])[CH:21]([CH3:22])[CH3:23].[CH3:1][CH2:2][O:3][C:4](=[O:5])[Cl:6].[NH2:24][CH2:25][CH2:26][OH:27].[O:7]=[C:8]1[CH2:9][CH2:10][C:11](=[O:12])[N:13]1[OH:14]>>CCOC(=O)NCCO 24;;4-6-1.0;24-4-1.0
[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][C:7]#[N:8].[ClH:9].[NH2:10][NH:11][c:12]1[cH:13][cH:14][cH:15][n:16][cH:17]1>>CC(C)c1cc(N)n(-c2cccnc2)n1 10,11,6;8;10-11-1.0,4-5-2.0,4-6-1.0,6-7-1.0,7-8-3.0;10-11-1.5,10-4-1.5,11-7-1.5,4-6-1.5,6-7-1.5,7-8-1.0
[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][C:10]([F:11])([c:12]2[cH:13][cH:14][c:15]([C:16]3=[N:17][O:18][C:19]([c:20]4[cH:21][c:22]([Cl:23])[c:24]([Cl:25])[c:26]([Cl:27])[cH:28]4)([C:29]([F:30])([F:31])[F:32])[CH2:33]3)[cH:34][cH:35]2)[CH2:36]1.[O:37]=[C:38]([OH:39])[C:40]([F:41])([F:42])[F:43]>>FC1(c2ccc(C3=NOC(c4cc(Cl)c(Cl)c(Cl)c4)(C(F)(F)F)C3)cc2)CNC1 ;8;6-8-1.0;
[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH:10]([O:11][Si:12]([CH3:13])([CH3:14])[C:15]([CH3:16])([CH3:17])[CH3:18])[CH:19]2[CH:20]1[CH2:21][CH2:22][N:23]2[C:24](=[O:25])[O:26][CH2:27][c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1.[FH:34].[cH:35]1[cH:36][cH:37][n:38][cH:39][cH:40]1>>CC(C)(C)OC(=O)N1CC(O)C2C1CCN2C(=O)OCc1ccccc1 ;11;11-12-1.0;
[CH3:20][O:21][C:22](=[O:23])[CH2:24][CH2:25][CH:26]([C:27]([NH2:28])=[O:29])[N:30]1[CH2:31][c:32]2[c:33]([OH:34])[cH:35][cH:36][cH:37][c:38]2[C:39]1=[O:40].[CH3:41][CH:42]([CH3:43])[O:44][C:45](=[O:46])[N:47]=[N:48][C:49](=[O:50])[O:51][CH:52]([CH3:53])[CH3:54].[OH:55][CH2:56][c:57]1[cH:58][cH:59][c:60]([CH2:61][Cl:62])[cH:63][cH:64]1.[cH:1]1[cH:2][cH:3][c:4]([P:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:18][cH:19]1>>COC(=O)CCC(C(N)=O)N1Cc2c(OCc3ccc(CCl)cc3)cccc2C1=O 34;;55-56-1.0;34-56-1.0
[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1-[c:9]1[cH:10][cH:11][c:12]2[cH:13][n:14][c:15]([O:16][S:17](=[O:18])(=[O:19])[C:20]([F:21])([F:22])[F:23])[n:24][n:25]12.[CH3:26][O:27][c:28]1[cH:29][c:30]([NH2:31])[cH:32][cH:33][c:34]1[CH:35]1[CH2:36][CH2:37][N:38]([CH2:39][C:40]([NH2:41])=[O:42])[CH2:43][CH2:44]1>>COc1ccccc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)c(OC)c3)nn12 31;;15-16-1.0;15-31-1.0
[ClH:19].[cH:1]1[cH:2][cH:3][c:4]([CH2:5][O:6][CH:7]2[CH2:8][CH2:9][C:10]3([CH2:11][CH2:12]2)[O:13][CH2:14][CH2:15][O:16]3)[cH:17][cH:18]1>>O=C1CCC(OCc2ccccc2)CC1 ;;10-13-1.0,10-16-1.0,13-14-1.0;10-13-2.0
[CH3:2][c:3]1[cH:4][c:5]([C:6](=[O:7])[NH:8][CH2:9][c:10]2[cH:11][cH:12][c:13]([C:14](=[NH:15])[NH2:16])[cH:17][cH:18]2)[c:19]([CH3:20])[n:21]1-[c:22]1[cH:23][cH:24][c:25]([F:26])[cH:27][cH:28]1.[ClH:1].[K+:33].[K+:34].[O:29]=[C:30]([O-:31])[O-:32].[O:35]=[C:36]([Cl:37])[O:38][CH2:39][c:40]1[cH:41][cH:42][cH:43][cH:44][cH:45]1>>Cc1cc(C(=O)NCc2ccc(C(N)=NC(=O)OCc3ccccc3)cc2)c(C)n1-c1ccc(F)cc1 15;;36-37-1.0;15-36-1.0
[CH3:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[CH3:17][CH2:18][CH2:19][CH2:20][Sn:21]([CH2:22][CH2:23][CH2:24][CH3:25])([CH2:26][CH2:27][CH2:28][CH3:29])[c:30]1[cH:31][cH:32][cH:33][cH:34][n:35]1.[F-:36].[K+:37].[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Br:8])[cH:9]1>>O=Cc1cccc(-c2ccccn2)c1 ;;21-30-1.0,7-8-1.0;30-7-1.0
[H:15][H:16].[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[CH2:10][CH2:11][O:12][CH2:13][CH2:14]2>>Nc1ccc2c(c1)CCOCC2 ;2;1-2-2.0,2-3-1.0;
[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[n:6][c:7]([NH2:8])[c:9]2[n:10][c:11]([Br:12])[n:13]([CH:14]3[CH2:15][CH2:16][CH2:17][CH2:18][O:19]3)[c:20]2[n:21]1.[CH3:22][O-:23].[Na+:24]>>COc1nc2c(N)nc(OC(C)C)nc2n1C1CCCCO1 ;;11-12-1.0;11-23-1.0
[CH3:18][CH:19]1[CH2:20][NH:21][CH2:22][CH2:23][NH:24]1.[CH3:1][c:2]1[c:3]([Cl:4])[n:5][n:6][c:7]([C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][n:14][cH:15]2)[c:16]1[CH3:17].[CH3:25][CH2:26][N:27]([CH2:28][CH3:29])[CH2:30][CH3:31]>>Cc1c(C(=O)c2cccnc2)nnc(N2CCNC(C)C2)c1C 21;;3-4-1.0;21-3-1.0
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[n:6]2[n:7][c:8]([C:9]([CH3:10])([CH3:11])[CH3:12])[cH:13][c:14]2[NH:15][C:16](=[O:17])[NH:18][c:19]2[cH:20][cH:21][c:22]([O:23][CH2:24][CH2:25][c:26]3[cH:27][cH:28][n:29][c:30]([NH:31][C:32](=[O:33])[O:34][C:35]([CH3:36])([CH3:37])[CH3:38])[cH:39]3)[c:40]3[cH:41][cH:42][cH:43][cH:44][c:45]23)[cH:46][cH:47]1.[O:48]=[C:49]([OH:50])[C:51]([F:52])([F:53])[F:54]>>Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCc3ccnc(N)c3)c3ccccc23)cc1 ;31;31-32-1.0;
[CH3:1][c:2]1[cH:3][cH:4][n:5][c:6]([CH3:7])[c:8]1[C:9](=[O:10])[c:11]1[n:12][cH:13][c:14]([Cl:15])[cH:16][c:17]1[N+:18](=[O:19])[O-:20]>>Cc1ccnc(C)c1C(=O)c1ncc(Cl)cc1N ;18;18-19-2.0,18-20-1.0;
[CH3:19][CH:20]1[CH2:21][NH:22][CH2:23][CH:24]([CH3:25])[O:26]1.[CH3:1][O:2][c:3]1[cH:4][c:5]([N:6]2[CH2:7][CH2:8][C:9](=[O:10])[CH2:11][CH2:12]2)[cH:13][cH:14][c:15]1[N+:16](=[O:17])[O-:18]>>COc1cc(N2CCC(N3CC(C)OC(C)C3)CC2)ccc1[N+](=O)[O-] 22;9;10-9-2.0;22-9-1.0
[CH3:1][CH:2]1[CH2:3][c:4]2[cH:5][cH:6][c:7](-[c:8]3[cH:9][cH:10][n:11][c:12]([C:13](=[O:14])[OH:15])[cH:16]3)[cH:17][c:18]2[CH2:19][N:20]1[c:21]1[cH:22][c:23]([N:24]2[CH2:25][CH2:26][N:27]([CH3:28])[CH2:29][CH2:30]2)[n:31][c:32]([NH2:33])[n:34]1.[ClH:35].[N:36]#[C:37][CH:38]1[CH2:39][NH:40][CH2:41]1>>CC1Cc2ccc(-c3ccnc(C(=O)N4CC(C#N)C4)c3)cc2CN1c1cc(N2CCN(C)CC2)nc(N)n1 15,40;;13-14-2.0,13-15-1.0;13-15-2.0,13-40-1.0
[CH3:12][c:13]1[cH:14][cH:15][c:16]([S:17](=[O:18])(=[O:19])[OH:20])[cH:21][cH:22]1.[CH3:27][c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1.[O:1]=[CH:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]1[F:10].[OH2:11].[OH:23][CH2:24][CH2:25][OH:26]>>Fc1ccc(Br)cc1C1OCCO1 23;;1-2-2.0,25-26-1.0;1-2-1.0,1-25-1.0,2-23-1.0
[CH3:1][Si:2]([CH3:3])([CH3:4])[CH2:5][CH2:6][O:7][CH2:8][n:9]1[n:10][cH:11][c:12]([C:13]#[N:14])[c:15]1[NH:16][c:17]1[cH:18][cH:19][c:20]([S:21]([CH3:22])(=[O:23])=[O:24])[cH:25][cH:26]1.[ClH:27].[Na+:32].[O:28]=[C:29]([O-:30])[OH:31]>>CS(=O)(=O)c1ccc(Nc2n[nH]cc2C#N)cc1 ;10;8-9-1.0;
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([NH:7][c:8]3[cH:9][cH:10][c:11]([C:12]#[N:13])[cH:14][cH:15]3)[n:16][cH:17][cH:18][c:19]2[c:20]1[NH2:21].[CH3:22][O:23][c:24]1[cH:25][cH:26][c:27]([CH2:28][n:29]2[cH:30][n:31][c:32]3[c:33](-[c:34]4[cH:35][cH:36][cH:37][n:38][c:39]4[F:40])[n:41][cH:42][n:43][c:44]23)[cH:45][cH:46]1.[CH3:47][Si:48]([CH3:49])([CH3:50])[N-:51][Si:52]([CH3:53])([CH3:54])[CH3:55].[ClH:57].[Li+:56].[Na+:62].[O:58]=[C:59]([O-:60])[OH:61]>>COc1ccc(Cn2cnc3c(-c4cccnc4Nc4c(C)ccc5c(Nc6ccc(C#N)cc6)nccc45)ncnc32)cc1 21;;39-40-1.0;21-39-1.0
[CH3:22][c:23]1[cH:24][cH:25][c:26]([S:27](=[O:28])(=[O:29])[O:30][CH2:31][C:32]([F:33])([F:34])[F:35])[cH:36][cH:37]1.[Cl-:38].[H-:1].[NH2:3][c:4]1[n:5][cH:6][cH:7][cH:8][c:9]1[O:10][c:11]1[cH:12][cH:13][c:14]2[cH:15][cH:16][c:17]([OH:18])[cH:19][c:20]2[cH:21]1.[NH4+:39].[Na+:2]>>Nc1ncccc1Oc1ccc2ccc(OCC(F)(F)F)cc2c1 ;;17-18-1.0,27-30-1.0;17-30-1.0
[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]2[c:10]([cH:11]1)[CH:12]([OH:13])[C:14]([CH3:15])([CH3:16])[CH:17]([c:18]1[cH:19][cH:20][cH:21][c:22]([C:23](=[O:24])[O:25][CH3:26])[cH:27]1)[NH:28]2.[CH3:29][CH2:30][SiH:31]([CH2:32][CH3:33])[CH2:34][CH3:35]>>CCOC(=O)c1ccc2c(c1)CC(C)(C)C(c1cccc(C(=O)OC)c1)N2 ;12;12-13-1.0;
[CH3:7][NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1.[O:15]=[S:16](=[O:17])([Cl:18])[Cl:19].[O:20]=[C:21]1[CH2:22][c:23]2[cH:24][cH:25][cH:26][cH:27][c:28]2[NH:29]1.[cH:1]1[cH:2][cH:3][n:4][cH:5][cH:6]1>>CN(c1ccccc1)S(=O)(=O)c1ccc2c(c1)CC(=O)N2 25,8;;16-18-1.0,16-19-1.0;16-25-1.0,16-8-1.0
[NH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[NH2:8].[Na+:19].[O:9]=[C:10]([OH:11])[CH:12]1[CH2:13][CH2:14][NH:15][CH2:16][CH2:17]1.[OH-:18]>>c1ccc2[nH]c(C3CCNCC3)nc2c1 1,8;;1-2-1.0,10-11-1.0,10-9-2.0,7-8-1.0;1-10-1.5,1-2-1.5,10-8-1.5,7-8-1.5
[CH3:1][O:2][c:3]1[cH:4][c:5]2[c:6]([OH:7])[cH:8][cH:9][n:10][c:11]2[cH:12][c:13]1[O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[Cs+:26].[Cs+:27].[O:22]=[C:23]([O-:24])[O-:25].[O:28]=[N+:29]([O-:30])[c:31]1[cH:32][cH:33][c:34]([F:35])[c:36]([F:37])[cH:38]1>>COc1cc2c(Oc3ccc([N+](=O)[O-])cc3F)ccnc2cc1OCc1ccccc1 7;;34-35-1.0;34-7-1.0
[CH3:17][c:18]1[cH:19][cH:20][c:21](-[n:22]2[n:23][cH:24][cH:25][n:26]2)[c:27]([C:28](=[O:29])[OH:30])[cH:31]1.[CH3:1][CH:2]1[CH2:3][CH2:4][CH:5]([CH2:6][O:7][c:8]2[cH:9][cH:10][c:11]([F:12])[cH:13][n:14]2)[CH2:15][NH:16]1.[CH3:46][CH2:47][N:48]([CH2:49][CH3:50])[CH2:51][CH3:52].[Cl:32][CH2:33][CH2:34][Cl:35].[OH:36][n:37]1[n:38][n:39][c:40]2[cH:41][cH:42][cH:43][cH:44][c:45]12>>Cc1ccc(-n2nccn2)c(C(=O)N2CC(COc3ccc(F)cn3)CCC2C)c1 16;;28-30-1.0;16-28-1.0
[CH3:3][CH2:4][O:5][C:6](=[O:7])[c:8]1[cH:9][c:10]2[cH:11][c:12]([F:13])[cH:14][cH:15][c:16]2[n:17]1[CH2:18][c:19]1[cH:20][cH:21][cH:22][c:23]([F:24])[cH:25]1.[Na+:2].[OH-:1]>>O=C(O)c1cc2cc(F)ccc2n1Cc1cccc(F)c1 ;5;4-5-1.0;
[CH2:9]1[CH2:10][CH2:11][NH:12][CH2:13][CH2:14]1.[Cl:1][c:2]1[cH:3][c:4]([Cl:5])[n:6][cH:7][n:8]1>>Clc1cc(N2CCCCC2)ncn1 12;;1-2-1.0;12-2-1.0
[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH:9]1[CH2:10][CH2:11][N:12]([C:13](=[O:14])[c:15]2[n:16][cH:17][cH:18][s:19]2)[CH2:20]1.[ClH:21]>>NC1CCN(C(=O)c2nccs2)C1 ;8;6-8-1.0;
[CH3:11][c:12]1[cH:13][cH:14][c:15]([S:16](=[O:17])(=[O:18])[Cl:19])[o:20]1.[CH3:1][S:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[NH2:10]>>CSc1ccc(Cl)cc1NS(=O)(=O)c1ccc(C)o1 10;;16-19-1.0;10-16-1.0
[CH3:12][C:13]([CH3:14])([CH3:15])[O:16][C:17](=[O:18])[NH:19][c:20]1[cH:21][cH:22][cH:23][c:24]([Br:25])[n:26]1.[K+:27].[K+:28].[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([B:7]([OH:8])[OH:9])[cH:10][cH:11]1.[O:29]=[C:30]([O-:31])[O-:32]>>CC(C)(C)OC(=O)Nc1cccc(-c2ccc(C#N)cc2)n1 ;;24-25-1.0,6-7-1.0;24-6-1.0
[CH3:19][O:20][c:21]1[cH:22][cH:23][c:24]([P:25]2(=[S:26])[S:27][P:28](=[S:29])([c:30]3[cH:31][cH:32][c:33]([O:34][CH3:35])[cH:36][cH:37]3)[S:38]2)[cH:39][cH:40]1.[CH3:1][S:2][c:3]1[cH:4][cH:5][c:6]([NH:7][C:8](=[O:9])[c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]2)[cH:17][cH:18]1>>CSc1ccc(NC(=S)c2ccc(Cl)cc2)cc1 ;;25-26-2.0,8-9-2.0;26-8-2.0
